Id,Title,Description,Status,Priority,Assigned,CreatedDate,UpdatedDate,TaskCode,ProjectId
664,Добавить восстановление пароля,Добавить логирование ошибок,InProgress,Medium,olga,2026-03-06T00:00:00,2026-03-06T00:00:00,KAN-664,4
665,Добавить восстановление пароля,Оптимизировать текущую реализацию,InProgress,Medium,olga|anna,2026-02-17T00:00:00,2026-03-03T00:00:00,KAN-665,3
666,Исправить проблему drag and drop,Иногда возникает ошибка при работе с API,Done,Low,alex,2026-01-25T00:00:00,2026-02-10T00:00:00,KAN-666,4
667,Оптимизировать транзакции,Добавить журнал отправленных уведомлений,ToDo,Low,olga|maria,2026-02-26T00:00:00,2026-03-12T00:00:00,KAN-667,5
668,Реализовать шаблоны уведомлений,Добавить обработку ошибок,Review,Medium,olga,2026-03-11T00:00:00,2026-03-23T00:00:00,KAN-668,2
669,Улучшить проверку логина,Оптимизировать текущую реализацию,Done,Medium,anna|olga,2026-01-12T00:00:00,2026-01-21T00:00:00,KAN-669,1
670,Исправить проблему с блокировками,Добавить двухфакторную аутентификацию,ToDo,Low,ivan,2026-03-12T00:00:00,2026-03-28T00:00:00,KAN-670,3
671,Реализовать кэширование запросов,Реализовать обработку ошибок отправки,ToDo,Medium,alex,2026-02-09T00:00:00,,KAN-671,2
672,Исправить нестабильное поведение функции,Добавить роли пользователей,Done,Medium,maria,2026-02-06T00:00:00,2026-02-26T00:00:00,KAN-672,1
673,Проверить целостность данных,Добавить обработку ошибок БД,Review,Low,ivan|maria,2026-04-01T00:00:00,2026-04-18T00:00:00,KAN-673,5
674,Исправить нестабильное поведение функции,Добавить логирование ошибок авторизации,ToDo,Medium,alex,2026-02-07T00:00:00,,KAN-674,4
675,Добавить индексы для таблиц,Проверить целостность данных,InProgress,Low,maria|alex,2026-01-24T00:00:00,2026-01-27T00:00:00,KAN-675,3
676,Добавить страницу настроек проекта,Оптимизировать процесс входа,ToDo,Low,anna|olga,2026-03-29T00:00:00,2026-04-16T00:00:00,KAN-676,4
677,Исправить проблему drag and drop,Добавить обработку ошибок БД,Done,Low,alex,2026-02-23T00:00:00,,KAN-677,5
678,Оптимизировать процесс входа,Добавить логирование ошибок,Done,High,john,2026-04-10T00:00:00,,KAN-678,4
679,Оптимизировать транзакции,Добавить двухфакторную аутентификацию,InProgress,High,alex|anna,2026-01-17T00:00:00,,KAN-679,1
680,Добавить дедлайны задач,Обновить механизм сессий,Done,Medium,ivan|john,2026-03-16T00:00:00,2026-03-17T00:00:00,KAN-680,1
681,Добавить журнал изменений БД,Добавить роли пользователей,ToDo,Medium,ivan,2026-04-02T00:00:00,2026-04-21T00:00:00,KAN-681,5
682,Добавить журнал изменений БД,Добавить журнал отправленных уведомлений,ToDo,High,maria|anna,2026-01-18T00:00:00,2026-01-21T00:00:00,KAN-682,3
683,Добавить индексы для таблиц,Интегрировать с внешними сервисами,ToDo,Medium,anna|maria,2026-03-06T00:00:00,2026-03-19T00:00:00,KAN-683,3
684,Добавить индексы для таблиц,Исправить проблему с блокировками,Done,Medium,olga|anna,2026-01-09T00:00:00,2026-01-13T00:00:00,KAN-684,5
685,Добавить журнал изменений БД,Добавить журнал активности,InProgress,High,john|olga,2026-04-10T00:00:00,2026-04-16T00:00:00,KAN-685,1
686,Добавить логирование ошибок авторизации,Исправить нестабильное поведение функции,InProgress,Medium,anna|maria,2026-01-31T00:00:00,2026-02-17T00:00:00,KAN-686,1
687,Исправить ошибку авторизации,Обновить интерфейс страницы,ToDo,High,ivan|olga,2026-03-07T00:00:00,2026-03-08T00:00:00,KAN-687,4
688,Исправить загрузку аватаров,Добавить обработку ошибок БД,InProgress,Medium,olga|anna,2026-01-16T00:00:00,2026-01-21T00:00:00,KAN-688,1
689,Добавить страницу настроек проекта,Добавить роли пользователей,InProgress,Low,maria|anna,2026-01-07T00:00:00,2026-01-19T00:00:00,KAN-689,5
690,Добавить обработку ошибок БД,Добавить восстановление пароля,ToDo,Low,maria,2026-01-28T00:00:00,2026-01-29T00:00:00,KAN-690,1
691,Добавить настройку частоты уведомлений,Улучшить проверку логина,ToDo,Medium,maria|ivan,2026-02-20T00:00:00,,KAN-691,4
692,Улучшить проверку логина,Необходимо улучшить производительность запроса,ToDo,Medium,maria|john,2026-02-13T00:00:00,2026-02-16T00:00:00,KAN-692,5
693,Исправить загрузку аватаров,Обновить механизм сессий,InProgress,Medium,alex|maria,2026-01-05T00:00:00,,KAN-693,2
694,Улучшить производительность доски,Обновить механизм сессий,ToDo,Medium,olga|john,2026-03-06T00:00:00,2026-03-15T00:00:00,KAN-694,3
695,Добавить журнал отправленных уведомлений,Необходимо улучшить производительность запроса,Done,Low,john|alex,2026-02-24T00:00:00,2026-03-12T00:00:00,KAN-695,2
696,Реализовать новую функцию интерфейса,Обновить интерфейс страницы,Review,Medium,ivan|olga,2026-03-03T00:00:00,2026-03-10T00:00:00,KAN-696,5
697,Добавить обработку ошибок отправки,Добавить проверку токена,InProgress,Low,anna,2026-02-21T00:00:00,,KAN-697,1
698,Добавить метки задач,Иногда возникает ошибка при работе с API,Review,Medium,alex|olga,2026-03-18T00:00:00,2026-03-18T00:00:00,KAN-698,5
699,Реализовать поиск задач,Добавить двухфакторную аутентификацию,InProgress,High,maria|john,2026-03-14T00:00:00,2026-03-14T00:00:00,KAN-699,1
700,Реализовать новую функцию интерфейса,Добавить роли пользователей,ToDo,Medium,anna,2026-01-24T00:00:00,,KAN-700,4
701,Добавить обработку ошибок БД,Добавить восстановление пароля,InProgress,Low,olga|anna,2026-02-19T00:00:00,,KAN-701,4
702,Добавить индексы для таблиц,Реализовать шаблоны уведомлений,InProgress,High,john,2026-03-25T00:00:00,2026-03-25T00:00:00,KAN-702,5
703,Добавить обработку ошибок БД,Оптимизировать транзакции,ToDo,Medium,anna|alex,2026-02-18T00:00:00,2026-02-22T00:00:00,KAN-703,3
704,Исправить ошибку авторизации,Добавить обработку ошибок,Review,Medium,ivan,2026-02-07T00:00:00,2026-02-14T00:00:00,KAN-704,4
705,Добавить обработку ошибок отправки,Оптимизировать транзакции,Done,Low,anna|ivan,2026-02-20T00:00:00,,KAN-705,2
706,Оптимизировать отправку сообщений,Проверить целостность данных,ToDo,Medium,ivan,2026-02-03T00:00:00,,KAN-706,2
707,Исправить проблему drag and drop,Добавить дедлайны задач,Done,Medium,maria,2026-03-12T00:00:00,2026-03-30T00:00:00,KAN-707,2
708,Добавить журнал изменений БД,Исправить проблему с блокировками,Done,Medium,john,2026-02-27T00:00:00,2026-03-04T00:00:00,KAN-708,4
709,Добавить роли пользователей,Улучшить проверку логина,Review,Medium,anna|olga,2026-01-20T00:00:00,,KAN-709,1
710,Оптимизировать транзакции,Оптимизировать транзакции,ToDo,Low,maria,2026-02-01T00:00:00,2026-02-07T00:00:00,KAN-710,2
711,Добавить страницу настроек проекта,Добавить настройку частоты уведомлений,ToDo,Medium,john|alex,2026-03-24T00:00:00,2026-04-01T00:00:00,KAN-711,5
712,Добавить комментарии к задачам,Добавить журнал отправленных уведомлений,ToDo,Medium,anna|maria,2026-03-13T00:00:00,,KAN-712,1
713,Проверить целостность данных,Реализовать кэширование запросов,Done,Low,maria|john,2026-01-03T00:00:00,,KAN-713,3
714,Добавить журнал изменений БД,Добавить обработку ошибок БД,ToDo,Medium,maria,2026-03-03T00:00:00,2026-03-13T00:00:00,KAN-714,2
715,Реализовать дополнительную бизнес-логику,Исправить проблему с блокировками,Review,Medium,anna|alex,2026-04-06T00:00:00,2026-04-12T00:00:00,KAN-715,1
716,Реализовать шаблоны уведомлений,Реализовать обработку ошибок отправки,InProgress,Low,maria|olga,2026-01-08T00:00:00,,KAN-716,2
717,Добавить журнал изменений БД,Оптимизировать транзакции,Done,Medium,olga,2026-02-02T00:00:00,2026-02-22T00:00:00,KAN-717,3
718,Оптимизировать процесс входа,Исправить нестабильное поведение функции,Done,Low,ivan,2026-03-13T00:00:00,2026-03-20T00:00:00,KAN-718,5
719,Реализовать кэширование запросов,Добавить новые связи между таблицами,Done,Medium,anna|olga,2026-01-03T00:00:00,,KAN-719,5
720,Добавить метки задач,Добавить настройку частоты уведомлений,InProgress,Low,maria,2026-03-17T00:00:00,2026-03-23T00:00:00,KAN-720,5
721,Обновить механизм сессий,Необходимо улучшить производительность запроса,InProgress,High,maria,2026-03-08T00:00:00,2026-03-09T00:00:00,KAN-721,2
722,Добавить настройку частоты уведомлений,Оптимизировать отправку сообщений,InProgress,High,alex|anna,2026-04-08T00:00:00,,KAN-722,2
723,Обновить интерфейс страницы,Оптимизировать транзакции,Done,Medium,maria|alex,2026-03-25T00:00:00,2026-04-09T00:00:00,KAN-723,2
724,Добавить страницу настроек проекта,Реализовать поиск задач,Review,Medium,alex,2026-01-26T00:00:00,2026-02-09T00:00:00,KAN-724,5
725,Улучшить производительность доски,Добавить двухфакторную аутентификацию,Review,Medium,maria|alex,2026-02-28T00:00:00,,KAN-725,2
726,Добавить роли пользователей,Исправить ошибку регистрации,Done,Medium,anna,2026-02-20T00:00:00,2026-02-25T00:00:00,KAN-726,5
727,Оптимизировать запросы базы данных,Добавить журнал активности,InProgress,Medium,alex,2026-04-04T00:00:00,2026-04-10T00:00:00,KAN-727,1
728,Добавить уведомления,Оптимизировать текущую реализацию,Review,High,ivan|john,2026-04-11T00:00:00,2026-04-16T00:00:00,KAN-728,5
729,Добавить журнал изменений БД,Оптимизировать отправку сообщений,ToDo,High,ivan,2026-01-15T00:00:00,2026-01-22T00:00:00,KAN-729,4
730,Добавить новые связи между таблицами,Исправить проблему с блокировками,Review,Medium,ivan|john,2026-03-25T00:00:00,2026-03-25T00:00:00,KAN-730,1
731,Добавить страницу настроек проекта,Реализовать кэширование запросов,Review,Low,olga|john,2026-02-20T00:00:00,,KAN-731,2
732,Обновить механизм сессий,Добавить проверку данных,InProgress,Medium,olga|anna,2026-03-18T00:00:00,,KAN-732,2
733,Добавить восстановление пароля,Добавить логирование ошибок,InProgress,Medium,alex,2026-02-21T00:00:00,2026-03-10T00:00:00,KAN-733,4
734,Добавить восстановление пароля,Добавить новую возможность для пользователей,Done,High,john|ivan,2026-03-23T00:00:00,2026-04-06T00:00:00,KAN-734,4
735,Добавить страницу настроек проекта,Оптимизировать отправку сообщений,Done,High,anna,2026-01-02T00:00:00,,KAN-735,5
736,Добавить страницу настроек проекта,Добавить журнал отправленных уведомлений,Review,Low,olga|anna,2026-01-26T00:00:00,2026-02-01T00:00:00,KAN-736,5
737,Реализовать поиск задач,Оптимизировать процесс входа,InProgress,Medium,olga,2026-01-11T00:00:00,2026-01-26T00:00:00,KAN-737,4
738,Добавить комментарии к задачам,Оптимизировать процесс входа,ToDo,Medium,ivan|olga,2026-01-24T00:00:00,2026-01-26T00:00:00,KAN-738,2
739,Исправить проблему с блокировками,Оптимизировать отправку сообщений,Done,High,anna,2026-04-10T00:00:00,,KAN-739,1
740,Реализовать поиск задач,Добавить новые связи между таблицами,InProgress,Medium,olga,2026-04-05T00:00:00,,KAN-740,2
741,Добавить проверку токена,Добавить обработку ошибок,ToDo,Medium,olga|ivan,2026-01-20T00:00:00,2026-01-23T00:00:00,KAN-741,3
742,Исправить проблему с блокировками,Оптимизировать транзакции,InProgress,Medium,maria,2026-01-19T00:00:00,2026-02-05T00:00:00,KAN-742,5
743,Улучшить производительность доски,Улучшить проверку логина,InProgress,Medium,anna,2026-04-11T00:00:00,2026-04-24T00:00:00,KAN-743,1
744,Добавить двухфакторную аутентификацию,Добавить индексы для таблиц,ToDo,Medium,olga|anna,2026-04-06T00:00:00,,KAN-744,5
745,Улучшить производительность доски,Реализовать обработку ошибок отправки,InProgress,Medium,alex|anna,2026-01-01T00:00:00,2026-01-21T00:00:00,KAN-745,5
746,Добавить настройку частоты уведомлений,Обновить интерфейс страницы,InProgress,High,alex,2026-02-25T00:00:00,2026-03-08T00:00:00,KAN-746,5
747,Исправить ошибку авторизации,Иногда возникает ошибка при работе с API,InProgress,Medium,maria|john,2026-04-08T00:00:00,2026-04-13T00:00:00,KAN-747,2
748,Добавить журнал отправленных уведомлений,Иногда возникает ошибка при работе с API,InProgress,Medium,ivan|anna,2026-02-26T00:00:00,2026-03-07T00:00:00,KAN-748,2
749,Интегрировать с внешними сервисами,Реализовать обработку ошибок отправки,InProgress,High,john|ivan,2026-04-11T00:00:00,2026-04-27T00:00:00,KAN-749,4
750,Добавить роли пользователей,Рефакторинг авторизации,InProgress,Medium,alex,2026-03-23T00:00:00,,KAN-750,5
751,Оптимизировать запросы базы данных,Добавить двухфакторную аутентификацию,ToDo,Medium,anna,2026-01-06T00:00:00,2026-01-14T00:00:00,KAN-751,3
752,Исправить нестабильное поведение функции,Добавить логирование ошибок авторизации,InProgress,Medium,olga|anna,2026-01-07T00:00:00,2026-01-16T00:00:00,KAN-752,1
753,Добавить восстановление пароля,Иногда возникает ошибка при работе с API,InProgress,Medium,olga|john,2026-04-05T00:00:00,2026-04-12T00:00:00,KAN-753,4
754,Реализовать поиск задач,Исправить проблему с блокировками,InProgress,Low,ivan,2026-02-08T00:00:00,2026-02-26T00:00:00,KAN-754,3
755,Исправить проблему drag and drop,Улучшить проверку логина,Done,Low,anna|john,2026-04-06T00:00:00,,KAN-755,5
756,Добавить журнал изменений БД,Реализовать обработку ошибок отправки,InProgress,Low,ivan,2026-02-27T00:00:00,2026-02-28T00:00:00,KAN-756,1
757,Исправить проблему с блокировками,Оптимизировать транзакции,Done,Medium,anna|maria,2026-02-21T00:00:00,,KAN-757,5
758,Добавить комментарии к задачам,Рефакторинг авторизации,InProgress,Medium,maria,2026-01-25T00:00:00,,KAN-758,1
759,Реализовать поиск задач,Добавить дедлайны задач,InProgress,Medium,john,2026-03-22T00:00:00,,KAN-759,3
760,Добавить комментарии к задачам,Исправить ошибку регистрации,InProgress,High,anna,2026-01-16T00:00:00,,KAN-760,4
761,Реализовать шаблоны уведомлений,Исправить ошибку регистрации,Review,Medium,anna|alex,2026-02-02T00:00:00,2026-02-06T00:00:00,KAN-761,2
762,Добавить восстановление пароля,Добавить логирование ошибок,ToDo,Medium,maria,2026-01-24T00:00:00,2026-02-07T00:00:00,KAN-762,3
763,Добавить обработку ошибок БД,Обновить механизм сессий,InProgress,Medium,alex,2026-01-12T00:00:00,,KAN-763,3
764,Улучшить производительность доски,Добавить восстановление пароля,Done,Low,alex|ivan,2026-02-26T00:00:00,,KAN-764,5
765,Реализовать кэширование запросов,Добавить роли пользователей,ToDo,Low,anna,2026-02-07T00:00:00,,KAN-765,5
766,Реализовать поиск задач,Реализовать шаблоны уведомлений,Done,Medium,john,2026-04-04T00:00:00,2026-04-20T00:00:00,KAN-766,3
767,Реализовать отправку email,Оптимизировать транзакции,InProgress,Medium,john|anna,2026-02-21T00:00:00,2026-03-13T00:00:00,KAN-767,4
768,Реализовать кэширование запросов,Обновить механизм сессий,Done,High,olga|alex,2026-01-29T00:00:00,2026-02-02T00:00:00,KAN-768,3
769,Обновить интерфейс страницы,Добавить роли пользователей,InProgress,Medium,maria|olga,2026-03-06T00:00:00,2026-03-23T00:00:00,KAN-769,1
770,Оптимизировать отправку сообщений,Добавить логирование ошибок авторизации,Review,Medium,anna|maria,2026-01-07T00:00:00,,KAN-770,3
771,Обновить интерфейс страницы,Добавить двухфакторную аутентификацию,Done,Low,olga,2026-03-21T00:00:00,2026-03-29T00:00:00,KAN-771,2
772,Реализовать кэширование запросов,Реализовать шаблоны уведомлений,Review,High,ivan|alex,2026-01-25T00:00:00,2026-02-10T00:00:00,KAN-772,1
773,Обновить механизм сессий,Добавить обработку ошибок,Review,Medium,alex|john,2026-02-12T00:00:00,2026-03-04T00:00:00,KAN-773,5
774,Добавить комментарии к задачам,Оптимизировать транзакции,Done,Medium,ivan,2026-02-16T00:00:00,2026-02-18T00:00:00,KAN-774,1
775,Рефакторинг авторизации,Реализовать дополнительную бизнес-логику,ToDo,Low,ivan,2026-01-12T00:00:00,2026-01-16T00:00:00,KAN-775,1
776,Исправить нестабильное поведение функции,Добавить дедлайны задач,ToDo,High,ivan|alex,2026-04-05T00:00:00,2026-04-05T00:00:00,KAN-776,3
777,Проверить целостность данных,Добавить настройку частоты уведомлений,InProgress,High,alex|anna,2026-02-16T00:00:00,2026-03-01T00:00:00,KAN-777,2
778,Реализовать поиск задач,Исправить ошибку регистрации,InProgress,Low,alex,2026-03-21T00:00:00,,KAN-778,4
779,Оптимизировать транзакции,Добавить восстановление пароля,ToDo,Medium,maria,2026-03-23T00:00:00,2026-04-10T00:00:00,KAN-779,4
780,Добавить комментарии к задачам,Реализовать кэширование запросов,Done,Low,ivan,2026-03-08T00:00:00,2026-03-12T00:00:00,KAN-780,3
781,Добавить проверку токена,Иногда возникает ошибка при работе с API,Review,Low,maria,2026-02-02T00:00:00,2026-02-11T00:00:00,KAN-781,5
782,Добавить двухфакторную аутентификацию,Реализовать дополнительную бизнес-логику,Done,Medium,maria|ivan,2026-01-24T00:00:00,2026-01-30T00:00:00,KAN-782,2
783,Добавить метки задач,Оптимизировать процесс входа,Review,High,maria,2026-01-06T00:00:00,2026-01-09T00:00:00,KAN-783,5
784,Исправить ошибку регистрации,Добавить новую возможность для пользователей,Done,Medium,olga,2026-01-18T00:00:00,2026-02-01T00:00:00,KAN-784,3
785,Обновить механизм сессий,Добавить логирование ошибок,InProgress,Medium,ivan,2026-02-07T00:00:00,2026-02-10T00:00:00,KAN-785,1
786,Добавить дедлайны задач,Улучшить проверку логина,ToDo,Low,alex|anna,2026-03-11T00:00:00,,KAN-786,5
787,Интегрировать с внешними сервисами,Реализовать новую функцию интерфейса,ToDo,Low,olga|anna,2026-01-12T00:00:00,2026-01-12T00:00:00,KAN-787,1
788,Исправить загрузку аватаров,Обновить механизм сессий,InProgress,Medium,anna|ivan,2026-04-07T00:00:00,,KAN-788,5
789,Реализовать дополнительную бизнес-логику,Оптимизировать транзакции,InProgress,Medium,ivan,2026-03-22T00:00:00,2026-04-05T00:00:00,KAN-789,4
790,Добавить уведомления,Улучшить проверку логина,Done,Medium,maria|anna,2026-04-10T00:00:00,2026-04-30T00:00:00,KAN-790,3
791,Исправить проблему с блокировками,Оптимизировать отправку сообщений,Review,High,anna,2026-01-02T00:00:00,2026-01-10T00:00:00,KAN-791,1
792,Добавить двухфакторную аутентификацию,Добавить новую возможность для пользователей,Done,Medium,olga,2026-04-04T00:00:00,2026-04-23T00:00:00,KAN-792,4
793,Добавить дедлайны задач,Интегрировать с внешними сервисами,ToDo,Medium,maria,2026-03-30T00:00:00,,KAN-793,1
794,Оптимизировать транзакции,Оптимизировать транзакции,ToDo,Medium,john|maria,2026-04-02T00:00:00,2026-04-05T00:00:00,KAN-794,5
795,Добавить индексы для таблиц,Оптимизировать транзакции,Done,Medium,maria|alex,2026-02-03T00:00:00,2026-02-07T00:00:00,KAN-795,3
796,Оптимизировать запросы базы данных,Оптимизировать отправку сообщений,ToDo,Medium,anna,2026-03-02T00:00:00,2026-03-21T00:00:00,KAN-796,2
797,Добавить журнал отправленных уведомлений,Добавить обработку ошибок,Review,High,olga|john,2026-01-17T00:00:00,2026-02-05T00:00:00,KAN-797,3
798,Добавить комментарии к задачам,Добавить настройку частоты уведомлений,InProgress,Low,john,2026-02-17T00:00:00,2026-03-01T00:00:00,KAN-798,5
799,Добавить обработку ошибок БД,Добавить журнал активности,Done,Medium,alex|maria,2026-01-28T00:00:00,2026-02-03T00:00:00,KAN-799,3
800,Рефакторинг авторизации,Необходимо улучшить производительность запроса,ToDo,Low,ivan,2026-04-06T00:00:00,2026-04-18T00:00:00,KAN-800,2
801,Добавить уведомления,Реализовать новую функцию интерфейса,InProgress,Low,maria|alex,2026-02-14T00:00:00,2026-02-22T00:00:00,KAN-801,4
802,Добавить новые связи между таблицами,Интегрировать с внешними сервисами,InProgress,Low,ivan|john,2026-02-21T00:00:00,2026-03-09T00:00:00,KAN-802,1
803,Проверить целостность данных,Обновить механизм сессий,InProgress,Low,alex,2026-03-30T00:00:00,2026-04-16T00:00:00,KAN-803,4
804,Обновить интерфейс страницы,Реализовать обработку ошибок отправки,InProgress,Low,anna,2026-04-06T00:00:00,2026-04-12T00:00:00,KAN-804,1
805,Добавить роли пользователей,Добавить восстановление пароля,Review,Low,ivan|anna,2026-01-22T00:00:00,2026-02-02T00:00:00,KAN-805,1
806,Обновить интерфейс страницы,Улучшить проверку логина,InProgress,High,alex|olga,2026-04-02T00:00:00,2026-04-04T00:00:00,KAN-806,4
807,Добавить настройку частоты уведомлений,Оптимизировать текущую реализацию,Done,Medium,olga|anna,2026-02-24T00:00:00,2026-03-05T00:00:00,KAN-807,2
808,Исправить загрузку аватаров,Исправить ошибку регистрации,InProgress,High,olga,2026-02-18T00:00:00,2026-02-24T00:00:00,KAN-808,5
809,Исправить загрузку аватаров,Оптимизировать отправку сообщений,ToDo,Medium,ivan,2026-03-04T00:00:00,,KAN-809,4
810,Добавить индексы для таблиц,Добавить журнал активности,ToDo,Medium,anna,2026-03-21T00:00:00,2026-03-29T00:00:00,KAN-810,3
811,Добавить комментарии к задачам,Добавить страницу настроек проекта,InProgress,Low,anna,2026-03-10T00:00:00,2026-03-21T00:00:00,KAN-811,4
812,Обновить механизм сессий,Оптимизировать текущую реализацию,ToDo,Medium,john,2026-02-02T00:00:00,,KAN-812,2
813,Оптимизировать запросы базы данных,Реализовать кэширование запросов,Review,Low,olga|maria,2026-01-18T00:00:00,2026-01-28T00:00:00,KAN-813,3
814,Исправить ошибку регистрации,Реализовать новую функцию интерфейса,InProgress,Low,john,2026-02-13T00:00:00,2026-03-03T00:00:00,KAN-814,5
815,Исправить ошибку авторизации,Добавить индексы для таблиц,InProgress,Low,john|anna,2026-03-20T00:00:00,2026-03-24T00:00:00,KAN-815,3
816,Добавить двухфакторную аутентификацию,Обновить интерфейс страницы,InProgress,Medium,olga,2026-03-26T00:00:00,,KAN-816,4
817,Исправить ошибку регистрации,Добавить индексы для таблиц,InProgress,Low,john,2026-02-16T00:00:00,2026-02-26T00:00:00,KAN-817,3
818,Добавить настройку частоты уведомлений,Добавить обработку ошибок БД,InProgress,Medium,alex|maria,2026-02-12T00:00:00,,KAN-818,5
819,Проверить целостность данных,Добавить двухфакторную аутентификацию,ToDo,Medium,olga,2026-03-23T00:00:00,2026-04-11T00:00:00,KAN-819,4
820,Добавить двухфакторную аутентификацию,Пользователь может выполнить действие с некорректными данными,Done,Medium,olga,2026-01-26T00:00:00,2026-02-12T00:00:00,KAN-820,1
821,Добавить настройку частоты уведомлений,Добавить комментарии к задачам,InProgress,Medium,john,2026-03-26T00:00:00,,KAN-821,2
822,Исправить проблему с блокировками,Добавить роли пользователей,ToDo,Low,ivan,2026-01-15T00:00:00,2026-01-15T00:00:00,KAN-822,4
823,Обновить механизм сессий,Обновить интерфейс страницы,ToDo,Low,alex,2026-01-25T00:00:00,2026-02-12T00:00:00,KAN-823,3
824,Обновить интерфейс страницы,Рефакторинг авторизации,ToDo,Low,olga|john,2026-03-12T00:00:00,2026-03-23T00:00:00,KAN-824,5
825,Добавить обработку ошибок БД,Оптимизировать отправку сообщений,Review,High,alex|maria,2026-02-21T00:00:00,2026-03-05T00:00:00,KAN-825,3
826,Улучшить проверку логина,Реализовать новую функцию интерфейса,Done,High,anna,2026-01-31T00:00:00,,KAN-826,3
827,Добавить журнал отправленных уведомлений,Реализовать шаблоны уведомлений,Review,Medium,alex,2026-03-12T00:00:00,2026-03-30T00:00:00,KAN-827,5
828,Исправить ошибку авторизации,Добавить обработку ошибок,InProgress,Low,olga,2026-03-01T00:00:00,,KAN-828,1
829,Добавить роли пользователей,Улучшить проверку логина,ToDo,Low,alex|anna,2026-04-05T00:00:00,2026-04-21T00:00:00,KAN-829,5
830,Исправить проблему с блокировками,Добавить обработку ошибок БД,Review,High,alex|olga,2026-01-30T00:00:00,2026-02-02T00:00:00,KAN-830,5
831,Добавить дедлайны задач,Реализовать шаблоны уведомлений,Review,Low,anna|ivan,2026-01-18T00:00:00,2026-02-02T00:00:00,KAN-831,1
832,Добавить обработку ошибок отправки,Улучшить проверку логина,Review,Medium,ivan|john,2026-02-16T00:00:00,2026-02-24T00:00:00,KAN-832,1
833,Реализовать шаблоны уведомлений,Оптимизировать отправку сообщений,ToDo,Low,maria|alex,2026-04-11T00:00:00,2026-04-21T00:00:00,KAN-833,2
834,Интегрировать с внешними сервисами,Добавить логирование ошибок авторизации,InProgress,Medium,john,2026-04-04T00:00:00,2026-04-10T00:00:00,KAN-834,3
835,Исправить загрузку аватаров,Обновить механизм сессий,ToDo,Low,ivan,2026-01-11T00:00:00,,KAN-835,5
836,Добавить двухфакторную аутентификацию,Проверить целостность данных,ToDo,Low,anna|john,2026-01-11T00:00:00,2026-01-23T00:00:00,KAN-836,3
837,Интегрировать с внешними сервисами,Исправить ошибку регистрации,ToDo,Low,anna|olga,2026-03-20T00:00:00,2026-03-31T00:00:00,KAN-837,4
838,Оптимизировать отправку сообщений,Реализовать новую функцию интерфейса,InProgress,Low,olga|ivan,2026-03-08T00:00:00,,KAN-838,1
839,Исправить проблему drag and drop,Реализовать поиск задач,InProgress,Medium,anna|maria,2026-01-05T00:00:00,,KAN-839,3
840,Добавить страницу настроек проекта,Оптимизировать транзакции,Done,Medium,alex,2026-01-20T00:00:00,,KAN-840,5
841,Улучшить проверку логина,Оптимизировать текущую реализацию,ToDo,Medium,alex|maria,2026-02-09T00:00:00,2026-02-23T00:00:00,KAN-841,3
842,Рефакторинг авторизации,Добавить проверку данных,ToDo,Medium,anna,2026-02-09T00:00:00,2026-02-28T00:00:00,KAN-842,1
843,Реализовать отправку email,Пользователь может выполнить действие с некорректными данными,InProgress,Medium,anna,2026-03-11T00:00:00,,KAN-843,5
844,Добавить метки задач,Исправить проблему drag and drop,Done,Medium,ivan,2026-01-11T00:00:00,2026-01-19T00:00:00,KAN-844,4
845,Добавить обработку ошибок БД,Реализовать кэширование запросов,InProgress,Low,john|maria,2026-02-18T00:00:00,2026-03-04T00:00:00,KAN-845,1
846,Добавить страницу настроек проекта,Исправить загрузку аватаров,InProgress,Low,anna|olga,2026-02-27T00:00:00,2026-03-17T00:00:00,KAN-846,2
847,Добавить журнал изменений БД,Добавить индексы для таблиц,Review,High,ivan|olga,2026-02-27T00:00:00,2026-03-14T00:00:00,KAN-847,2
848,Оптимизировать запросы базы данных,Добавить настройку частоты уведомлений,InProgress,High,john,2026-04-06T00:00:00,2026-04-15T00:00:00,KAN-848,5
849,Улучшить проверку логина,Добавить логирование ошибок,Done,Medium,anna|maria,2026-02-05T00:00:00,2026-02-08T00:00:00,KAN-849,2
850,Реализовать кэширование запросов,Добавить индексы для таблиц,Done,Low,anna,2026-03-03T00:00:00,2026-03-14T00:00:00,KAN-850,1
851,Добавить двухфакторную аутентификацию,Оптимизировать текущую реализацию,Review,Medium,alex|john,2026-03-07T00:00:00,2026-03-14T00:00:00,KAN-851,4
852,Добавить двухфакторную аутентификацию,Реализовать новую функцию интерфейса,ToDo,Low,john|alex,2026-03-29T00:00:00,2026-04-14T00:00:00,KAN-852,3
853,Добавить индексы для таблиц,Реализовать шаблоны уведомлений,Review,Medium,maria,2026-02-02T00:00:00,2026-02-22T00:00:00,KAN-853,3
854,Добавить журнал отправленных уведомлений,Исправить нестабильное поведение функции,ToDo,Medium,alex|maria,2026-01-23T00:00:00,2026-02-09T00:00:00,KAN-854,4
855,Исправить проблему drag and drop,Добавить восстановление пароля,InProgress,High,olga,2026-01-24T00:00:00,2026-02-08T00:00:00,KAN-855,1
856,Реализовать новую функцию интерфейса,Рефакторинг авторизации,InProgress,Medium,olga,2026-02-25T00:00:00,,KAN-856,1
857,Добавить роли пользователей,Оптимизировать процесс входа,Review,Medium,alex,2026-01-08T00:00:00,2026-01-20T00:00:00,KAN-857,4
